ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
555,Fri Oct 25 10:41:36 CEST 2024,Fri Oct 25 10:41:36 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,96,241,551
566,Fri Oct 25 10:43:47 CEST 2024,Fri Oct 25 10:43:47 CEST 2024,POST,https://timemanager.alexishenry.eu,404,Not Found,24,130,0
654,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,26,241,551
663,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,26,241,551
672,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,24,241,551
683,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,61,241,551
694,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,55,241,551
705,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,22,241,551
715,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,29,241,551
725,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,22,241,551
733,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,24,241,551
744,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,22,241,551
753,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,35,241,551
765,Fri Oct 25 10:43:50 CEST 2024,Fri Oct 25 10:43:50 CEST 2024,GET,https://timemanager.alexishenry.eu,200,OK,36,241,551
560,Fri Oct 25 10:43:47 CEST 2024,Fri Oct 25 10:43:47 CEST 2024,GET,https://timemanager.alexishenry.eu?class.module.classLoader.DefaultAssertionStatus=nonsense,200,OK,103,241,551
550,Fri Oct 25 10:41:36 CEST 2024,Fri Oct 25 10:41:36 CEST 2024,GET,https://timemanager.alexishenry.eu/,200,OK,88,241,551
579,Fri Oct 25 10:43:48 CEST 2024,Fri Oct 25 10:43:48 CEST 2024,POST,https://timemanager.alexishenry.eu/,404,Not Found,22,130,0
